Записи638-673
Et	E-1	E-2	dl
X
626	3	3	0
636	7	7	0
635	7	7	0
644	17	19	2
637	0	1	1
654	7	7	0
656	6	5	1
663	6	6	0
661	0	1	1
671	1	1	0
673	0	0	0
681	2	2	0
685	0	0	0
694	1	1	0
700	1	1	0
711	3	3	0
716	1	1	0
722	2	2	0
734	2	2	0
745	1	1	0
752	5	5	0
765	0	0	0
773	5	5	0
791	5	5	0
805	8	8	0
818	4	5	1
835	9	10	1
852	7	7	0
871	9	9	0
891	12	12	0
923	26	27	1
942	2	1	1
978	0	2	2
1011	8	11	3
1048	16	19	3
1087	25	28	3
Y
364	1	1	0
363	1	1	0
360	5	5	0
359	7	9	2
355	1	0	1
355	4	5	1
351	4	4	0
343	1	1	0
345	5	5	0
339	0	0	0
335	3	2	1
333	4	4	0
326	2	2	0
321	1	1	0
317	2	2	0
314	6	6	0
303	0	0	0
300	4	4	0
291	0	0	0
285	0	0	0
279	7	7	0
272	9	9	0
259	5	5	0
246	2	2	0
235	1	1	0
222	5	5	0
211	3	3	0
198	5	5	0
187	4	4	0
169	10	10	0
153	14	14	0
126	9	8	1
108	0	2	2
77	1	1	0
44	2	1	1
13	2	4	2
