Records 888-975
Et= Marked E1=3D E2= Predict dl=E1-E2
Et	E1	E2	dl
X
662	662(0)	662(0)	0
664	661(3)	661(3)	0
663	662(1)	662(1)	0
663	662(1)	662(1)	0
673	664(9)	664(9)	0
667	663(4)	663(4)	0
674	668(6)	668(6)	0
670	669(0)	669(0)	0
679	675(4)	675(4)	0
673	674(1)	674(1)	0
686	681(5)	681(5)	0
678	679(1)	679(1)	0
690	686(4)	686(4)	0
683	685(2)	685(2)	0
696	689(7)	689(7)	0
692	689(3)	689(3)	0
699	697(2)	697(2)	0
700	696(4)	696(4)	0
706	701(5)	701(5)	0
704	706(2)	706(2)	0
710	712(2)	712(2)	0
714	713(1)	713(1)	0
717	718(1)	718(1)	0
720	721(1)	721(1)	0
723	725(2)	725(2)	0
731	727(4)	727(4)	0
731	731(0)	731(0)	0
735	732(3)	732(3)	0
738	736(2)	736(2)	0
745	742(3)	742(3)	0
744	748(4)	748(4)	0
753	754(1)	754(1)	0
755	756(1)	756(1)	0
762	762(0)	762(0)	0
768	766(2)	766(2)	0
770	771(1)	771(1)	0
776	772(4)	772(4)	0
781	775(6)	775(6)	0
783	779(4)	779(4)	0
789	783(6)	783(6)	0
791	791(0)	791(0)	0
801	796(5)	796(5)	0
805	800(5)	800(5)	0
810	806(4)	806(4)	0
817	814(3)	814(3)	0
822	825(3)	825(3)	0
827	825(2)	825(2)	0
836	837(1)	837(1)	0
841	840(1)	840(1)	0
848	846(2)	846(2)	0
853	856(3)	856(3)	0
860	860(0)	860(0)	0
868	863(5)	863(5)	0
879	869(10)	869(10)	0
885	879(6)	879(6)	0
891	886(5)	886(5)	0
895	891(4)	891(4)	0
906	898(0)	898(0)	0
914	904(0)	904(0)	0
921	911(0)	911(0)	0
927	917(0)	918(0)	0
936	930(6)	930(6)	0
947	938(0)	939(0)	0
959	951(8)	952(7)	1
964	962(2)	963(1)	1
976	974(0)	974(0)	0
987	986(0)	986(0)	0
1000	998(0)	998(0)	0
1008	1011(0)	1011(0)	0
1017	1015(2)	1013(4)	-2
1031	1024(7)	1023(8)	-1
1034	1032(2)	1031(3)	-1
1053	1041(0)	1040(0)	0
1059	1051(8)	1051(8)	0
1067	1059(0)	1060(0)	0
1084	1068(0)	1069(0)	0
1098	1089(9)	1091(7)	2
1110	1101(0)	1104(0)	0
1119	1114(0)	1117(0)	0
1136	1128(0)	1132(0)	0
1151	1142(0)	1147(0)	0
1162	1157(0)	1162(0)	0
1182	1172(0)	1178(0)	0
1197	1188(0)	1194(0)	0
1217	1204(0)	1211(0)	0
1226	1220(0)	1228(0)	0
1245	1237(0)	1246(0)	0
1254	1255(0)	1264(0)	0
M1X = 3,359375 SD1X = 2,43263737728725 M2X = 3,359375 SD2X = 2,37412607276341
Y
403	400(3)	400(3)	0
402	399(3)	399(3)	0
397	399(2)	399(2)	0
394	398(4)	398(4)	0
391	397(6)	397(6)	0
392	392(0)	392(0)	0
383	386(3)	386(3)	0
383	382(0)	383(0)	0
381	379(2)	379(2)	0
381	377(4)	377(4)	0
375	375(0)	375(0)	0
380	374(6)	374(6)	0
374	372(2)	372(2)	0
374	369(5)	369(5)	0
371	367(4)	367(4)	0
371	366(5)	366(5)	0
367	366(1)	366(1)	0
366	363(3)	363(3)	0
360	360(0)	360(0)	0
361	362(1)	362(1)	0
361	361(0)	361(0)	0
360	359(1)	359(1)	0
356	354(2)	354(2)	0
355	351(4)	351(4)	0
349	346(3)	346(3)	0
349	343(6)	343(6)	0
346	339(7)	339(7)	0
338	333(5)	333(5)	0
336	333(3)	333(3)	0
335	333(2)	333(2)	0
336	333(3)	333(3)	0
334	329(5)	329(5)	0
326	328(2)	328(2)	0
328	326(2)	326(2)	0
328	325(3)	325(3)	0
322	323(1)	323(1)	0
320	316(4)	316(4)	0
321	318(3)	318(3)	0
319	311(8)	311(8)	0
315	313(2)	313(2)	0
310	310(0)	310(0)	0
306	306(0)	306(0)	0
302	300(2)	300(2)	0
302	294(8)	294(8)	0
291	291(0)	291(0)	0
294	286(8)	286(8)	0
282	287(5)	287(5)	0
286	286(0)	286(0)	0
285	280(5)	280(5)	0
275	272(3)	272(3)	0
278	273(5)	273(5)	0
268	264(4)	264(4)	0
270	263(7)	263(7)	0
262	258(4)	258(4)	0
262	257(5)	257(5)	0
251	246(5)	246(5)	0
247	241(6)	241(6)	0
236	235(0)	235(0)	0
237	228(0)	228(0)	0
230	221(0)	222(0)	0
224	214(0)	215(0)	0
223	214(9)	216(7)	2
219	209(0)	210(0)	0
213	203(10)	203(10)	0
207	196(11)	196(11)	0
198	191(0)	191(0)	0
194	185(0)	185(0)	0
194	179(0)	178(0)	0
173	173(0)	172(0)	0
176	162(14)	160(16)	-2
162	153(9)	152(10)	-1
162	145(17)	145(17)	0
156	136(0)	136(0)	0
147	130(17)	130(17)	0
141	121(0)	122(0)	0
138	112(0)	113(0)	0
126	115(11)	117(9)	2
120	110(0)	112(0)	0
110	105(0)	108(0)	0
104	101(0)	105(0)	0
90	97(0)	101(0)	0
88	94(0)	99(0)	0
74	91(0)	96(0)	0
65	89(0)	94(0)	0
56	87(0)	93(0)	0
49	85(0)	91(0)	0
35	84(0)	91(0)	0
20	83(0)	90(0)	0
M1Y = 4,453125 SD1Y = 3,77048441640792 M2Y = 4,4375 SD2Y = 3,80326750965535
