Y: 258-278
Predict()
Q[i,i] =0 MY = 22,1052631578947 SDY = 14,6175623889179 Max=51
Q[i,i] =100 MY = 8,26315789473684 SDY = 6,03360854986168 Max=18
Q[i,i] =200 MY = 7,42105263157895 SDY = 5,62247173097837 Max=17
Q[i,i] =300 MY = 7,10526315789474 SDY = 5,54308233502383 Max=17
Q[i,i] =400 MY = 7 SDY = 5,47722557505166 Max=17
Q[i,i] =500 MY = 6,94736842105263 SDY = 5,50094426545428 Max=17
Q[i,i] =600 MY = 6,78947368421053 SDY = 5,42488367441058 Max=17
Q[i,i] =700 MY = 6,63157894736842 SDY = 5,29359619397059 Max=16
Q[i,i] =800 MY = 6,52631578947368 SDY = 5,31500775909353 Max=16
Q[i,i] =900 MY = 6,57894736842105 SDY = 5,26473660533418 Max=16
Q[i,i] =1000 MY = 6,57894736842105 SDY = 5,40288216918267 Max=17
Q[i,i] =1100 MY = 6,42105263157895 SDY = 5,47064693060475 Max=17
Q[i,i] =1200 MY = 6,36842105263158 SDY = 5,50798966397942 Max=17
Q[i,i] =1300 MY = 6,36842105263158 SDY = 5,50798966397942 Max=17
Q[i,i] =1400 MY = 6,36842105263158 SDY = 5,50798966397942 Max=17
Q[i,i] =1500 MY = 6,36842105263158 SDY = 5,4600031455147 Max=17
Q[i,i] =1600 MY = 6,36842105263158 SDY = 5,4600031455147 Max=17
Q[i,i] =1700 MY = 6,36842105263158 SDY = 5,4600031455147 Max=17
Q[i,i] =1800 MY = 6,36842105263158 SDY = 5,4600031455147 Max=17
Q[i,i] =1900 MY = 6,36842105263158 SDY = 5,4600031455147 Max=17
Q[i,i] =2000 MY = 6,31578947368421 SDY = 5,47773129737166 Max=17
Q[i,i] =2100 MY = 6,36842105263158 SDY = 5,43100772190081 Max=17
Q[i,i] =2200 MY = 6,36842105263158 SDY = 5,43100772190081 Max=17
Q[i,i] =2300 MY = 6,31578947368421 SDY = 5,47773129737166 Max=17
Q[i,i] =2400 MY = 6,31578947368421 SDY = 5,47773129737166 Max=17
Q[i,i] =2500 MY = 6,31578947368421 SDY = 5,47773129737166 Max=17
