Y: 638-673
Predict()
Q[i,i] =0 MY = 4,96 SDY = 6,23846134876221 Max=32
Q[i,i] =1 MY = 3,6 SDY = 2,89827534923789 Max=14
Q[i,i] =2 MY = 3,36 SDY = 2,88277643947636 Max=13
Q[i,i] =3 MY = 3,32 SDY = 2,64907531036775 Max=12
Q[i,i] =4 MY = 3,28 SDY = 2,63089338438486 Max=12
Q[i,i] =5 MY = 3,24 SDY = 2,54998039208148 Max=11
Q[i,i] =6 MY = 3,16 SDY = 2,57184758490856 Max=11
Q[i,i] =7 MY = 3,2 SDY = 2,56124969497314 Max=11
Q[i,i] =8 MY = 3,24 SDY = 2,54998039208148 Max=11
Q[i,i] =9 MY = 3,24 SDY = 2,54998039208148 Max=11
Q[i,i] =10 MY = 3,28 SDY = 2,52222124326951 Max=11
Q[i,i] =11 MY = 3,2 SDY = 2,46576560118759 Max=10
Q[i,i] =12 MY = 3,2 SDY = 2,46576560118759 Max=10
Q[i,i] =13 MY = 3,2 SDY = 2,46576560118759 Max=10
Q[i,i] =14 MY = 3,2 SDY = 2,46576560118759 Max=10
Q[i,i] =15 MY = 3,2 SDY = 2,46576560118759 Max=10
Q[i,i] =16 MY = 3,28 SDY = 2,55374235192198 Max=10
Q[i,i] =17 MY = 3,28 SDY = 2,55374235192198 Max=10
Q[i,i] =18 MY = 3,32 SDY = 2,5568730903195 Max=10
Q[i,i] =19 MY = 3,32 SDY = 2,5568730903195 Max=10
Q[i,i] =20 MY = 3,32 SDY = 2,5568730903195 Max=10
Q[i,i] =21 MY = 3,32 SDY = 2,5568730903195 Max=10
Q[i,i] =22 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =23 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =24 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =25 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =26 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =27 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =28 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =29 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =30 MY = 3,36 SDY = 2,60583959598437 Max=10
Q[i,i] =31 MY = 3,32 SDY = 2,64907531036775 Max=10
Q[i,i] =32 MY = 3,28 SDY = 2,55374235192198 Max=9
Q[i,i] =33 MY = 3,28 SDY = 2,55374235192198 Max=9
Q[i,i] =34 MY = 3,28 SDY = 2,55374235192198 Max=9
Q[i,i] =35 MY = 3,28 SDY = 2,55374235192198 Max=9
Q[i,i] =36 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =37 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =38 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =39 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =40 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =41 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =42 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =43 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =44 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =45 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =46 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =47 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =48 MY = 3,24 SDY = 2,58116252878427 Max=9
Q[i,i] =49 MY = 3,24 SDY = 2,58116252878427 Max=9
