Записи1075-1099
Et	E-1	E-2	dl
X
837	0	0	0
846	9	48	39
854	17	157	140
857	6	55	49
871	4	39	35
879	5	64	59
889	3	20	17
898	3	8	5
913	1	2	1
922	1	11	10
936	2	20	18
947	1	34	33
962	1	8	7
975	0	2	2
991	3	5	2
1007	2	5	3
1022	1	3	2
1048	4	5	1
1060	3	3	0
1085	4	4	0
1098	3	4	1
1123	6	5	1
1153	5	4	1
1176	0	0	0
1209	2	2	0
Y
354	1	1	0
356	3	20	17
355	2	61	59
356	1	22	21
354	1	17	16
354	1	31	30
350	1	11	10
346	2	7	5
340	2	1	1
334	2	4	2
326	0	11	11
317	1	19	18
307	3	7	4
305	2	1	1
292	0	1	1
286	6	7	1
280	4	6	2
273	4	4	0
269	1	2	1
264	0	0	0
255	2	2	0
254	2	2	0
240	0	0	0
228	4	4	0
212	5	5	0
