Records 888-975
Et= Marked E1=3D E2= Predict dl=E1-E2
Et	E1	E2	dl
X
662	662(0)	662(0)	0
664	661(3)	661(3)	0
663	663(0)	663(0)	0
663	662(1)	662(1)	0
673	668(5)	668(5)	0
667	664(3)	664(3)	0
674	670(4)	670(4)	0
670	674(4)	674(4)	0
679	678(1)	677(2)	-1
673	674(1)	674(1)	0
686	682(4)	682(4)	0
678	677(1)	677(1)	0
690	686(4)	686(4)	0
683	683(0)	683(0)	0
696	688(8)	689(7)	1
692	688(4)	688(4)	0
699	697(2)	697(2)	0
700	695(5)	695(5)	0
706	701(5)	701(5)	0
704	707(3)	707(3)	0
710	713(3)	713(3)	0
714	713(1)	713(1)	0
717	718(1)	718(1)	0
720	720(0)	720(0)	0
723	725(2)	725(2)	0
731	726(5)	726(5)	0
731	731(0)	731(0)	0
735	731(4)	731(4)	0
738	736(2)	736(2)	0
745	743(2)	743(2)	0
744	749(5)	749(5)	0
753	755(2)	755(2)	0
755	756(1)	756(1)	0
762	762(0)	762(0)	0
768	765(3)	765(3)	0
770	770(0)	770(0)	0
776	771(5)	771(5)	0
781	774(7)	774(7)	0
783	779(4)	779(4)	0
789	783(6)	783(6)	0
791	792(1)	792(1)	0
801	798(3)	798(3)	0
805	801(4)	801(4)	0
810	806(4)	806(4)	0
817	814(3)	814(3)	0
822	827(5)	827(5)	0
827	823(4)	823(4)	0
836	838(2)	838(2)	0
841	839(2)	839(2)	0
848	845(3)	845(3)	0
853	856(3)	856(3)	0
860	859(1)	859(1)	0
868	861(7)	861(7)	0
879	869(10)	869(10)	0
885	879(6)	879(6)	0
891	887(4)	887(4)	0
895	891(4)	891(4)	0
906	896(10)	897(9)	1
914	902(12)	902(12)	0
921	907(14)	908(13)	1
927	912(15)	913(14)	1
936	930(6)	931(5)	1
947	944(3)	945(2)	1
959	954(5)	954(5)	0
964	965(1)	965(1)	0
976	977(1)	976(0)	1
987	989(2)	987(0)	2
1000	1001(1)	998(2)	-1
1008	1014(6)	1010(2)	4
1017	1012(5)	1010(7)	-2
1031	1021(10)	1021(10)	0
1034	1029(5)	1029(5)	0
1053	1035(18)	1036(17)	1
1059	1049(10)	1050(9)	1
1067	1061(6)	1062(5)	1
1084	1073(11)	1074(10)	1
1098	1095(3)	1095(3)	0
1110	1115(5)	1115(5)	0
1119	1137(18)	1136(17)	1
1136	1160(24)	1158(22)	2
1151	1185(34)	1182(31)	3
1162	1212(50)	1206(44)	6
1182	1240(58)	1232(50)	8
1197	1269(72)	1258(61)	11
1217	1300(83)	1286(69)	14
1226	1331(105)	1314(88)	17
1245	1364(119)	1343(98)	21
1254	1397(143)	1372(118)	25
M1X = 11,7272727272727 SD1X = 25,3453059757665 M2X = 10,3522727272727 SD2X = 21,0789647135724
Y
403	400(3)	400(3)	0
402	399(3)	399(3)	0
397	397(0)	397(0)	0
394	393(1)	393(1)	0
391	390(1)	390(1)	0
392	385(7)	385(7)	0
383	382(1)	382(1)	0
383	377(6)	377(6)	0
381	378(3)	378(3)	0
381	378(3)	379(2)	1
375	377(2)	378(3)	-1
380	378(2)	378(2)	0
374	374(0)	374(0)	0
374	371(3)	371(3)	0
371	368(3)	368(3)	0
371	367(4)	367(4)	0
367	367(0)	367(0)	0
366	362(4)	362(4)	0
360	360(0)	360(0)	0
361	362(1)	362(1)	0
361	361(0)	361(0)	0
360	358(2)	358(2)	0
356	353(3)	353(3)	0
355	350(5)	350(5)	0
349	344(5)	344(5)	0
349	343(6)	343(6)	0
346	339(7)	339(7)	0
338	332(6)	332(6)	0
336	334(2)	334(2)	0
335	335(0)	335(0)	0
336	335(1)	335(1)	0
334	330(4)	330(4)	0
326	329(3)	329(3)	0
328	326(2)	326(2)	0
328	324(4)	324(4)	0
322	322(0)	322(0)	0
320	314(6)	314(6)	0
321	319(2)	319(2)	0
319	309(10)	309(10)	0
315	313(2)	313(2)	0
310	310(0)	310(0)	0
306	306(0)	306(0)	0
302	299(3)	299(3)	0
302	292(10)	292(10)	0
291	290(1)	290(1)	0
294	285(9)	285(9)	0
282	289(7)	289(7)	0
286	288(2)	288(2)	0
285	280(5)	280(5)	0
275	271(4)	271(4)	0
278	273(5)	273(5)	0
268	263(5)	263(5)	0
270	264(6)	264(6)	0
262	258(4)	258(4)	0
262	258(4)	258(4)	0
251	245(6)	245(6)	0
247	240(7)	240(7)	0
236	232(4)	232(4)	0
237	225(12)	225(12)	0
230	216(14)	216(14)	0
224	208(16)	208(16)	0
223	215(8)	216(7)	1
219	217(2)	219(0)	2
213	206(7)	205(8)	-1
207	198(9)	197(10)	-1
198	190(8)	189(9)	-1
194	182(12)	180(14)	-2
194	173(21)	170(24)	-3
173	163(10)	159(14)	-4
176	157(19)	156(20)	-1
162	151(11)	151(11)	0
162	145(17)	145(17)	0
156	139(17)	140(16)	1
147	132(15)	132(15)	0
141	126(15)	126(15)	0
138	119(19)	119(19)	0
126	121(5)	121(5)	0
120	121(1)	122(2)	-1
110	122(12)	123(13)	-1
104	124(20)	124(20)	0
90	127(37)	127(37)	0
88	131(43)	130(42)	1
74	135(61)	135(61)	0
65	141(76)	139(74)	2
56	147(91)	145(89)	2
49	154(105)	151(102)	3
35	162(127)	157(122)	5
20	170(150)	164(144)	6
M1Y = 13,1704545454545 SD1Y = 26,3561903962771 M2Y = 13,0795454545455 SD2Y = 25,5105214223326
